SampleID	Phenotype	CYTscore	ImmuneScore	StromalScore	EstimateScore	Purity	qaunTIseq_CD8T	quanTIseq_Treg	quanTIseq_other
SAM0257bbbbd388	excluded	167	170	118	57	198	81	66	48
SAM025b45c27e05	desert	64	215	139	125	73	1	180	106
SAM032c642382a7	inflamed	209	115	61	100	95	90	192	76
SAM0571f17f4045	excluded	236	164	126	183	20	98	242	1
SAM075e037d95bc	excluded	32	15	30	24	231	1	61	204
SAM07a93a28f801	excluded	23	175	117	207	152	1	75	131
SAM0a7c2091dd56	excluded	94	240	178	86	108	39	148	129
SAM0d855cff64e6	desert	84	176	124	51	194	1	22	169
SAM0f956e757453	excluded	88	231	240	118	80	1	73	40
SAM110501d0eedb	desert	89	204	77	168	160	1	146	85
SAM12502d970c10	inflamed	115	199	53	216	146	1	103	95
SAM14938611a2d3	desert	113	194	93	224	171	19	102	41
SAM14df63a65411	excluded	67	160	100	49	192	1	120	184
SAM166a419a4e5a	excluded	222	72	150	178	25	131	225	17
SAM17c45bf16bb6	excluded	33	11	26	20	227	4	94	197
SAM181b638b8248	excluded	185	132	227	179	24	136	216	213
SAM18a4dabbc557	excluded	201	51	112	203	155	101	118	155
SAM18b9351e265a	inflamed	195	121	230	171	32	78	220	1
SAM18be5b395318	excluded	72	191	69	163	161	38	152	162
SAM19fec8f3b3bd	excluded	75	243	175	85	109	1	159	66
SAM1a87df750b9d	excluded	162	37	48	238	127	89	82	64
SAM1ab1b28d9f2b	desert	78	238	51	11	182	22	17	102
SAM1abf01dd4544	excluded	137	80	155	106	89	61	177	52
SAM1ac4e3dee297	excluded	9	19	27	27	234	1	34	203
SAM1bcc62d8290c	excluded	79	23	39	39	242	106	109	91
SAM1c8b086175ca	excluded	151	214	145	132	66	58	92	148
SAM1dda30f1c5be	desert	117	52	146	159	41	10	208	74
SAM1e9c4d1d39ae	inflamed	182	173	17	66	206	96	194	101
SAM1f3c93814cb9	excluded	132	68	210	129	69	1	106	83
SAM1f66db567eb5	inflamed	179	100	216	153	47	82	179	43
SAM1f83ebd6be9b	desert	35	189	2	72	211	1	10	179
SAM1fa6bcb7fc48	inflamed	133	188	104	63	178	20	89	113
SAM203dcf14f927	inflamed	143	124	122	126	72	105	245	212
SAM2070b416069c	excluded	93	234	125	55	177	1	222	117
SAM23095936e611	desert	18	34	114	67	207	1	119	178
SAM23aa15d4a0b0	excluded	54	218	90	236	129	1	78	112
SAM25510f300d79	desert	27	140	62	54	176	1	13	183
SAM2570ff4aae6e	inflamed	219	103	131	173	30	128	202	68
SAM26104d5adc89	excluded	46	166	165	220	143	1	87	105
SAM2624229effe8	excluded	119	239	136	134	64	137	210	57
SAM27299aed7681	excluded	63	33	10	9	219	7	30	186
SAM28687037e4ff	inflamed	145	116	241	175	28	1	207	31
SAM29da928587ad	desert	68	219	65	219	144	1	157	86
SAM2b672f4336c7	desert	97	221	47	231	134	28	85	32
SAM2bba8cb35e48	excluded	135	217	243	110	85	115	117	81
SAM2c9586161ce6	desert	17	14	34	25	232	1	7	201
SAM2e7aa8fa0ab3	excluded	134	200	70	195	157	1	124	141
SAM2eb07dedf07f	inflamed	212	152	143	202	6	125	204	8
SAM2f228939632f	excluded	128	46	223	120	78	34	196	89
SAM31291c256373	inflamed	168	237	187	93	102	62	95	58
SAM31d9176e11fb	inflamed	199	50	89	226	138	53	37	127
SAM36851bc8b9ae	excluded	116	242	103	196	156	48	167	75
SAM36a9225b0222	inflamed	232	143	149	201	7	14	236	1
SAM36d87392593b	excluded	105	216	54	222	141	1	112	134
SAM3b1066e5801b	excluded	187	155	191	187	16	140	99	5
SAM3b15b4c6311d	inflamed	239	43	86	223	140	104	144	78
SAM3cb94b0d5297	excluded	172	105	160	123	75	37	195	51
SAM3e04eb914f3d	excluded	220	119	209	161	39	95	133	53
SAM3e8baff50d7a	desert	55	183	1	52	195	1	74	126
SAM3f446449bf81	inflamed	140	48	78	232	133	99	174	20
SAM415f36ad349e	excluded	74	79	197	124	74	1	116	24
SAM4305ab968b90	desert	3	26	44	41	244	1	16	199
SAM4501e41e4751	excluded	169	86	171	117	81	111	203	1
SAM45c8e6412c66	inflamed	215	87	161	101	94	122	113	88
SAM47fc46c3d6be	inflamed	226	141	225	185	18	43	240	1
SAM49d48750e294	excluded	108	186	215	81	112	1	86	93
SAM49f9b2e57aa5	excluded	36	154	110	53	196	1	79	139
SAM4caabd64e7fd	excluded	92	77	128	65	205	1	50	161
SAM4edbe45817b3	inflamed	221	91	43	92	103	25	160	67
SAM5234688806a7	desert	37	1	8	5	215	1	25	188
SAM52500cabdd36	excluded	81	36	105	61	202	31	48	124
SAM548551ef782c	desert	39	9	121	6	216	1	41	171
SAM560f23d6a3ad	inflamed	242	157	123	154	46	110	227	1
SAM572f19794c96	excluded	109	244	116	242	124	42	14	128
SAM58e7832f4e7d	desert	4	17	19	23	230	1	29	175
SAM59289ca42c99	excluded	152	122	203	158	42	36	123	56
SAM5a2347c0498a	desert	29	49	31	15	223	1	45	125
SAM5cc2d9036053	desert	80	203	244	108	87	1	80	172
SAM5d989c86255e	desert	59	211	192	80	113	1	90	152
SAM5e3bae090b8c	excluded	123	225	59	227	137	1	96	158
SAM5fc9ae0aed1f	inflamed	224	120	182	144	54	112	232	2
SAM5fe7a81a39dd	inflamed	217	67	33	76	117	9	241	49
SAM6157c8f38b72	desert	138	54	237	136	62	70	183	59
SAM61b9d4d84c64	inflamed	107	209	129	43	187	26	184	104
SAM63b2189c36d7	desert	26	10	120	69	209	1	33	130
SAM65afda25b920	excluded	173	137	154	208	4	12	198	7
SAM6662f5181f87	inflamed	102	44	188	99	96	1	64	69
SAM670649e105b5	excluded	141	45	181	95	100	45	169	116
SAM675a12a09c15	desert	38	139	162	213	149	1	135	151
SAM6780ed436b55	inflamed	206	42	40	241	125	92	200	71
SAM6792d6e98068	desert	8	13	28	22	229	1	44	154
SAM681e4bf7cf85	excluded	87	180	195	225	139	6	77	156
SAM698d8d76b934	excluded	53	196	58	229	136	1	21	149
SAM6cb230f208a8	desert	95	128	91	48	191	1	18	195
SAM6cbc10abddb0	inflamed	203	75	163	104	91	130	149	62
SAM6ff654a20f98	excluded	122	56	217	128	70	1	158	14
SAM714285adf612	inflamed	148	153	179	177	26	144	163	1
SAM73b653ae20d1	inflamed	183	241	190	73	120	1	129	138
SAM75142fcab9df	excluded	218	113	193	145	53	11	235	13
SAM7538ad9ff524	inflamed	69	224	108	91	168	1	11	163
SAM75f12d1a55fc	inflamed	205	135	133	197	10	94	228	1
SAM76a431ba6ce1	inflamed	126	94	224	151	49	60	156	10
SAM771445e92421	inflamed	160	95	135	174	29	127	231	1
SAM7746b76437e6	desert	8	27	22	35	238	1	62	211
SAM7829a341b9f3	inflamed	114	39	101	211	150	44	206	47
SAM7a9093b9c7e9	desert	211	90	134	166	36	13	111	212
SAM7aa01fc49a80	excluded	156	114	235	170	33	113	223	4
SAM7d2dfba6cd84	inflamed	191	151	213	190	14	46	176	1
SAM7d7c54623618	excluded	62	7	106	68	208	1	128	140
SAM7edacb3deb65	desert	71	35	84	58	199	23	9	92
