가격,년식,종류,연비,마력,토크,연료,하이브리드,배기량,중량,변속기
1885,2015,준중형,11.8,172,21,가솔린,0,1999,1300,자동
2190,2015,준중형,12.3,204,27,가솔린,0,1591,1300,자동
1135,2015,소형,15,100,13.6,가솔린,0,1368,1035,수동
1645,2014,소형,14,140,17,가솔린,0,1591,1090,자동
1960,2015,대형,9.6,175,46,디젤,0,2497,1990,자동
3277,2015,중형,12.4,200,44.5,디젤,0,2199,1864,자동
3065,2015,중형,13.8,200,44.5,디젤,0,2199,1799,자동
1459,2014,소형,14.1,100,13.6,가솔린,0,1368,1095,자동
2695,2015,중형,10.8,245,36,가솔린,0,1998,1570,자동
1492,2015,소형,14,100,13.6,가솔린,0,1368,1103,자동
2080,2015,준중형,13.8,184,41,디젤,0,1995,1548,자동
2595,2015,중형,11.4,200,20.9,디젤,0,2199,1864,자동
2250,2015,준중형,15,186,41,디젤,0,1995,1615,수동
1915,2015,대형,6.8,159,23,LPG,0,2359,1935,수동
1104,2013,소형,13.3,108,13.6,가솔린,0,1396,1035,자동
1960,2015,대형,11.4,175,46,디젤,0,2497,1990,수동
1960,2015,대형,11.4,175,46,디젤,0,2497,1990,수동
4650,2015,대형,9.2,282,35.4,가솔린,0,3342,1900,자동
3373,2015,중형,11.9,200,44.5,디젤,0,2199,1840,자동
5710,2015,대형,8.5,315,40.5,가솔린,0,3778,2000,자동
1915,2015,대형,6.4,159,23,LPG,0,2359,1935,자동
2366,2015,중형,11.5,193,25.2,가솔린,0,2359,1575,자동
1610,2015,준중형,18.5,128,28.5,디젤,0,1582,1305,수동
2150,2015,대형,6.6,159,23,디젤,0,2359,2165,수동
2745,2015,중형,16.2,141,34.7,디젤,0,1685,1540,자동
3195,2015,중형,13,184,41,디젤,0,1995,1859,자동
3585,2015,중형,11.3,200,44.5,디젤,0,2199,1905,자동
1270,2011,소형,16.1,108,13.9,가솔린,0,1396,1040,자동
1270,2012,소형,14.3,108,13.9,가솔린,0,1396,1040,수동
1845,2015,준중형,12.4,140,17,가솔린,0,1591,1225,자동
3024,2015,대형,11.3,190,24.6,가솔린,0,2359,1575,자동
3990,2015,대형,9.5,270,31.6,가솔린,0,2999,1670,자동
1542,2015,대형,8.9,133,26.5,디젤,0,2497,1751,자동
1850,2014,대형,6.8,159,23,LPG,0,2359,1935,수동
1560,2015,소형,19,136,30.6,디젤,0,1582,1160,수동
1630,2015,대형,9.1,133,26.5,디젤,0,2497,1850,수동
1410,2015,준중형,14.1,140,17,가솔린,0,1591,1210,수동
1850,2014,대형,6.4,159,23,LPG,0,2359,1935,자동
2054,2012,준중형,14,114,15,LPG,1,1591,1297,자동
1519,2015,소형,14,140,17,가솔린,0,1591,1085,자동
1149,2011,소형,16.1,108,13.9,가솔린,0,1396,1035,자동
1430,2013,소형,13.3,108,13.9,가솔린,0,1396,1065,자동
