지점,지점명,일시,기온(°C),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),지면온도(°C)
112,인천,2018-01-24 1:00,-13.8,8.4,36,,,-9.7
112,인천,2018-01-24 2:00,-13.9,8.2,35,,,-9.8
112,인천,2018-01-24 3:00,-14.1,6.5,36,,0,-9.9
112,인천,2018-01-24 4:00,-14.4,7.1,36,,0,-10
112,인천,2018-01-24 5:00,-14.7,5.7,36,,0,-10.1
112,인천,2018-01-24 6:00,-15,6.8,33,,0,-10.3
112,인천,2018-01-24 7:00,-15,6.5,36,,0,-10.4
112,인천,2018-01-24 8:00,-15,7.7,34,0,0,-10.5
112,인천,2018-01-24 9:00,-14.4,6,34,0.2,0,-9.2
112,인천,2018-01-24 10:00,-13.2,7.5,33,0.59,0,-5.6
112,인천,2018-01-24 11:00,-12.8,7.8,32,0.93,0,-3.1
112,인천,2018-01-24 12:00,-12.7,10.3,32,1.18,0,-2.1
112,인천,2018-01-24 13:00,-12,7.9,32,1.29,0,-0.8
112,인천,2018-01-24 14:00,-11.6,8.9,34,1.26,0,-0.6
112,인천,2018-01-24 15:00,-11.4,7.8,36,1.1,0,-1
112,인천,2018-01-24 16:00,-11.5,6.8,34,0.81,1,-2.1
112,인천,2018-01-24 17:00,-11.9,5,39,0.43,1,-4.8
112,인천,2018-01-24 18:00,-12.6,5.1,39,0.06,2,-6.9
112,인천,2018-01-24 19:00,-13.3,5,42,,,-8.1
112,인천,2018-01-24 20:00,-13.9,5.2,42,,,-8.8
112,인천,2018-01-24 21:00,-14.4,5.8,45,,0,-9.5
112,인천,2018-01-24 22:00,-14.8,6.6,50,,,-9.7
112,인천,2018-01-24 23:00,-15.2,5.4,49,,,-10
112,인천,2018-01-25 0:00,-14.8,5.2,46,,2,-10.1
112,인천,2018-01-25 1:00,-14.8,5.1,45,,,-9.9
112,인천,2018-01-25 2:00,-14.9,5.5,40,,,-10.1
112,인천,2018-01-25 3:00,-14.9,4.8,38,,0,-10.2
112,인천,2018-01-25 4:00,-14.8,2.5,40,,0,-10
112,인천,2018-01-25 5:00,-14.5,5.7,39,,5,-9.9
112,인천,2018-01-25 6:00,-15,4.3,38,,1,-10.5
112,인천,2018-01-25 7:00,-15.4,4.4,40,,0,-10.5
112,인천,2018-01-25 8:00,-15.6,4.3,43,0.01,8,-10.5
112,인천,2018-01-25 9:00,-15.5,8.9,35,0.19,6,-10.1
112,인천,2018-01-25 10:00,-14.8,8.3,31,0.57,7,-7
112,인천,2018-01-25 11:00,-13.8,6,27,0.82,6,-3.9
112,인천,2018-01-25 12:00,-12.7,6.5,29,1.1,7,-1.4
112,인천,2018-01-25 13:00,-11.9,5.2,35,1.24,6,-0.2
112,인천,2018-01-25 14:00,-10.8,4.7,38,1.2,5,0.3
112,인천,2018-01-25 15:00,-10.3,4.5,41,0.99,10,-0.2
112,인천,2018-01-25 16:00,-10.5,5.4,43,0.67,9,-1.6
112,인천,2018-01-25 17:00,-11.2,7.3,42,0.26,9,-4.5
112,인천,2018-01-25 18:00,-12.1,6.6,42,0.05,9,-6.6
112,인천,2018-01-25 19:00,-12.9,7.6,47,,,-8
112,인천,2018-01-25 20:00,-13.4,6.8,46,,,-8.9
112,인천,2018-01-25 21:00,-13.6,5.7,44,,0,-9.5
112,인천,2018-01-25 22:00,-13.7,5.9,44,,,-9.8
112,인천,2018-01-25 23:00,-13.8,7.9,41,,,-10.3
112,인천,2018-01-26 0:00,-14,7.2,45,,0,-10.6
112,인천,2018-01-26 1:00,-14.4,6.2,41,,,-10.9
112,인천,2018-01-26 2:00,-14.9,7.5,39,,,-11.3
112,인천,2018-01-26 3:00,-15.3,7.8,40,,0,-11.6
112,인천,2018-01-26 4:00,-15.8,7.6,40,,0,-11.9
112,인천,2018-01-26 5:00,-16.2,8.6,41,,0,-12.3
112,인천,2018-01-26 6:00,-16.5,5.9,47,,0,-12.4
112,인천,2018-01-26 7:00,-16.9,8.1,44,,0,-12.7
112,인천,2018-01-26 8:00,-17.1,7.6,42,0,0,-12.7
112,인천,2018-01-26 9:00,-16.8,7.2,44,0.22,0,-11.5
112,인천,2018-01-26 10:00,-16.2,6.5,39,0.61,0,-8.1
112,인천,2018-01-26 11:00,-15.5,5.8,38,0.95,0,-4.7
112,인천,2018-01-26 12:00,-14.7,5.3,37,1.2,0,-2.1
112,인천,2018-01-26 13:00,-13.7,4.5,36,1.3,0,-0.5
112,인천,2018-01-26 14:00,-13,4.9,35,1.28,0,-0.1
112,인천,2018-01-26 15:00,-12.3,4.6,34,1.11,0,-0.4
112,인천,2018-01-26 16:00,-12,4.8,32,0.82,0,-1.3
112,인천,2018-01-26 17:00,-12.4,4.5,38,0.45,0,-4.8
112,인천,2018-01-26 18:00,-13.1,4.3,40,0.09,0,-7.1
112,인천,2018-01-26 19:00,-13.7,5.1,42,,,-8.4
112,인천,2018-01-26 20:00,-13.9,4.3,44,,,-9.2
112,인천,2018-01-26 21:00,-14,3.2,46,,0,-9.6
