연,월,일,시,요일,"화성기온_c
기온",BL1_Gcal,BL2_Gcal,BL3_Gcal,BL4_Gcal
2014-01-01,1월,1일,1시,Wed,3.7 , 1.1 , 1.2 , 1.0 , 0.9 
2014-01-01,1월,1일,2시,Wed,1.7 , 1.1 , 1.2 , 1.0 , 1.0 
2014-01-01,1월,1일,3시,Wed,0.2 , 1.2 , 1.1 , 0.9 , 0.9 
2014-01-01,1월,1일,4시,Wed,-0.5 , 1.1 , 1.0 , 0.9 , 0.9 
2014-01-01,1월,1일,5시,Wed,-0.6 , 1.0 , 0.9 , 0.8 , 0.9 
2014-01-01,1월,1일,6시,Wed,-0.4 , 1.0 , 0.8 , 0.9 , 0.9 
2014-01-01,1월,1일,7시,Wed,-0.9 , 1.2 , 0.8 , 1.0 , 0.9 
2014-01-01,1월,1일,8시,Wed,-0.8 , 1.1 , 0.9 , 1.0 , 0.9 
2014-01-01,1월,1일,9시,Wed,1.6 , 1.1 , 0.9 , 1.1 , 1.0 
2014-01-01,1월,1일,10시,Wed,4.1 , 1.1 , 1.0 , 1.0 , 1.0 
2014-01-01,1월,1일,11시,Wed,6.6 , 1.4 , 1.0 , 1.0 , 0.9 
2014-01-01,1월,1일,12시,Wed,8.1 , 1.0 , 0.9 , 0.8 , 0.8 
2014-01-01,1월,1일,13시,Wed,7.8 , 0.9 , 0.7 , 0.8 , 0.7 
2014-01-01,1월,1일,14시,Wed,8.4 , 0.8 , 0.6 , 0.7 , 0.6 
2014-01-01,1월,1일,15시,Wed,8.1 , 0.6 , 0.6 , 0.6 , 0.6 
2014-01-01,1월,1일,16시,Wed,7.5 , 0.6 , 0.4 , 0.5 , 0.6 
2014-01-01,1월,1일,17시,Wed,6.8 , 0.8 , 0.4 , 0.6 , 0.5 
2014-01-01,1월,1일,18시,Wed,6.1 , 1.2 , 0.4 , 0.8 , 0.6 
2014-01-01,1월,1일,19시,Wed,5.7 , 1.4 , 0.6 , 1.1 , 0.8 
2014-01-01,1월,1일,20시,Wed,6.4 , 1.5 , 0.9 , 1.2 , 1.1 
2014-01-01,1월,1일,21시,Wed,6.4 , 1.6 , 1.1 , 1.3 , 1.1 
2014-01-01,1월,1일,22시,Wed,5.3 , 1.4 , 1.2 , 1.4 , 1.2 
2014-01-01,1월,1일,23시,Wed,5.0 , 1.4 , 1.3 , 1.3 , 1.2 
2014-01-01,1월,1일,24시,Wed,3.8 , 1.4 , 1.3 , 1.2 , 1.1 
2014-01-02,1월,2일,1시,Thu,3.2 , 1.2 , 1.2 , 1.0 , 0.9 
2014-01-02,1월,2일,2시,Thu,1.8 , 0.9 , 1.1 , 0.9 , 0.9 
2014-01-02,1월,2일,3시,Thu,-0.3 , 1.1 , 1.0 , 0.7 , 0.8 
2014-01-02,1월,2일,4시,Thu,-2.0 , 1.0 , 0.9 , 0.8 , 0.8 
2014-01-02,1월,2일,5시,Thu,-1.1 , 1.1 , 0.9 , 0.8 , 0.9 
