지점,지점명,일시,기온(°C),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),지면온도(°C)
119,수원,2017-01-24 1:00,-8.9,1.9,62,,,-2.7
119,수원,2017-01-24 2:00,-9.9,1.1,65,,,-2.8
119,수원,2017-01-24 3:00,-10.4,1.8,68,,0,-2.9
119,수원,2017-01-24 4:00,-11.2,0.4,72,,0,-3
119,수원,2017-01-24 5:00,-12,0.7,79,,0,-3.2
119,수원,2017-01-24 6:00,-12.3,0.3,87,,0,-3.3
119,수원,2017-01-24 7:00,-13.3,0.4,90,,0,-3.4
119,수원,2017-01-24 8:00,-12.8,0,91,0.01,0,-3.5
119,수원,2017-01-24 9:00,-8.5,0.6,77,0.37,0,-3.5
119,수원,2017-01-24 10:00,-4.5,0.9,47,0.86,0,-2.7
119,수원,2017-01-24 11:00,-3.9,1.7,36,1.27,0,-1.9
119,수원,2017-01-24 12:00,-2.7,2.2,31,1.61,0,-1.3
119,수원,2017-01-24 13:00,-1.5,2,30,1.72,0,-1
119,수원,2017-01-24 14:00,-0.5,2.2,36,1.61,0,-0.9
119,수원,2017-01-24 15:00,-0.9,2.6,38,1.4,0,-0.8
119,수원,2017-01-24 16:00,-2.6,3.2,43,1.03,0,-1
119,수원,2017-01-24 17:00,-3.2,2.8,46,0.53,0,-1.2
119,수원,2017-01-24 18:00,-4.3,2.1,53,0.09,0,-1.4
119,수원,2017-01-24 19:00,-5,2.2,53,,,-1.6
119,수원,2017-01-24 20:00,-5.5,1.9,56,,,-1.8
119,수원,2017-01-24 21:00,-5.9,1.1,56,,0,-2
119,수원,2017-01-24 22:00,-6.7,1.2,66,,,-2.3
119,수원,2017-01-24 23:00,-8.4,0.3,71,,,-2.5
119,수원,2017-01-25 0:00,-9.1,0.8,76,,0,-2.6
119,수원,2017-01-25 1:00,-9.3,0.2,85,,,-2.8
119,수원,2017-01-25 2:00,-10.5,0.3,86,,,-2.9
119,수원,2017-01-25 3:00,-10.7,0.1,89,,0,-3.1
119,수원,2017-01-25 4:00,-11.5,0.2,92,,0,-3.3
119,수원,2017-01-25 5:00,-12.1,0.2,92,,0,-3.5
119,수원,2017-01-25 6:00,-11.9,0,94,,0,-3.7
119,수원,2017-01-25 7:00,-12.5,0.3,93,,0,-3.8
119,수원,2017-01-25 8:00,-12.1,0.3,93,0.01,0,-3.9
119,수원,2017-01-25 9:00,-8.3,0.2,82,0.47,0,-3.8
119,수원,2017-01-25 10:00,-5.8,1,66,1.09,0,-3
119,수원,2017-01-25 11:00,-3.4,1.6,48,1.42,0,-2.1
119,수원,2017-01-25 12:00,-1.4,1.1,42,1.56,0,-1.4
119,수원,2017-01-25 13:00,-0.6,1.3,40,1.66,0,-1
119,수원,2017-01-25 14:00,1.2,2.5,34,1.64,0,-0.8
119,수원,2017-01-25 15:00,1.4,2.1,32,1.37,0,-0.8
119,수원,2017-01-25 16:00,0,2.6,39,0.94,0,-0.9
119,수원,2017-01-25 17:00,-1.1,2.5,48,0.49,0,-1.1
119,수원,2017-01-25 18:00,-2.6,2.6,53,0.09,0,-1.2
119,수원,2017-01-25 19:00,-3.3,1.9,58,,,-1.5
119,수원,2017-01-25 20:00,-3.7,1.4,61,,,-1.7
